round,mode,test_acc,val_acc,included,refunds,published,dropped,unretrievable,invalid,store_get_failures,global_cid,wall_seconds_cumulative
0,bcfl_anvil,0.788,0.7873333333333333,10,10,10,0,0,0,0,sha256:d74c04d746756a63a5f0c421ca02bce63bf9707b159846aab61fff533ad697d8,0.3749008999984653
1,bcfl_anvil,0.8462,0.837,10,10,10,0,0,0,0,sha256:2beb75cab04a6739970be427c21127837cc806d4f4f8d3e02fe7be376a84c2fc,0.7297649959982664
2,bcfl_anvil,0.8606,0.8573333333333333,10,10,10,0,0,0,0,sha256:c478f547096cdd7fef488761f634cea49a72e59c884184688fc245ac8c1ec04f,1.0898236179982632
3,bcfl_anvil,0.8696,0.8656666666666667,10,10,10,0,0,0,0,sha256:a366186c15c0828dca447d32e3441ac12fd1f5edf504c241fcaf7879e768afa3,1.4549998919974314
4,bcfl_anvil,0.8758,0.8716666666666667,10,10,10,0,0,0,0,sha256:f6d42b223077e9dcdcf49a6da25537a4f583997d9a3f0c18968c4cec73a80817,1.8217941469974903
5,bcfl_anvil,0.8792,0.8776666666666667,10,10,10,0,0,0,0,sha256:f29eddd3ea47ab34e94cb6b03fd2102dce4ef3813fc2f9c96dbf2d4940c0a1ae,2.1938428139983444
6,bcfl_anvil,0.8814,0.88,10,10,10,0,0,0,0,sha256:acd6c1fbf3ea92a2930a2c427257e89ab6df39f96f62c242cd4aa1a38c84a99f,2.5681320279982174
7,bcfl_anvil,0.8852,0.8816666666666667,10,10,10,0,0,0,0,sha256:742789901337f3db8696425723750415d751535d9842f2f3775ccbb5ff0d14b2,2.946642423998128
8,bcfl_anvil,0.887,0.8856666666666667,10,10,10,0,0,0,0,sha256:3c8cd45c97f609484647f62aadc63878b0c271e28479d9586eefbb4ca272eac4,3.285985244998301
9,bcfl_anvil,0.8896,0.8886666666666667,10,10,10,0,0,0,0,sha256:2dddda9f3e5e953e2a4294c909ecfca063f6e74065da600f18bddef4ad03e59b,3.6690901939982723
10,bcfl_anvil,0.8916,0.8896666666666667,10,10,10,0,0,0,0,sha256:8108698ec1868cb920d49efca623d0521744ec18203a9420d0bbacbfc56abc97,4.101031968997631
11,bcfl_anvil,0.893,0.889,10,10,10,0,0,0,0,sha256:b671e21b54935fd303938b428d2158f50b10f10d58e3a03085c49798f4372850,4.721357882997836
